X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-14,-28,54,75.27,0.169382,102,1861.078125,0.625,32.79
-12,-24,54,69.18,0.170663,102.03,1861.703125,0.625,32.79
-5,-19,59,63.23,0.170663,102.08,1866.8125,0.625,32.79
-4,-20,61,57.06,0.173226,102.07,1867.46875,0.65625,32.79
-5,-16,61,50.52,0.168101,102.05,1868.109375,0.640625,32.79
-4,-13,58,43.78,0.160414,101.93,1868.71875,0.609375,32.79
-7,-18,61,37.26,0.160414,101.82,1869.34375,0.625,32.79
-6,-19,63,31.44,0.159133,101.72,1870,0.65625,32.79
-6,-17,61,26.6,0.159133,101.43,1870.640625,0.640625,32.77
-8,-19,60,22.74,0.157852,101.12,1871.28125,0.640625,32.77
-4,-19,63,19.55,0.162976,100.72,1871.953125,0.671875,32.77
-3,-13,61,16.54,0.161695,100.35,1872.59375,0.640625,32.77
-6,-15,59,13.31,0.161695,99.97,1873.25,0.65625,32.79
-5,-16,59,9.62,0.162976,99.58,1873.859375,0.609375,32.79
-5,-17,60,5.32,0.162976,99.18,1874.5,0.640625,32.79
-5,-18,61,0.38,0.162976,98.73,1875.171875,0.671875,32.79
-6,-17,61,-5.08,0.164257,98.28,1875.75,0.578125,32.79
-5,-20,63,-10.42,0.15657,97.77,1876.40625,0.65625,32.79
-5,-21,62,-14.38,0.159133,97.25,1877,0.59375,32.79
-7,-17,61,-15.27,0.157852,96.75,1877.640625,0.640625,32.79
-8,-19,60,-11.71,0.157852,96.2,1878.25,0.609375,32.77
-9,-19,59,-3.53,0.157852,95.65,1878.875,0.625,32.77
-10,-17,58,7.81,0.157852,95.12,1879.53125,0.65625,32.77
-9,-19,59,19.6,0.161695,94.47,1880.15625,0.625,32.77
-8,-21,60,29.19,0.15657,93.85,1880.78125,0.625,32.79
-9,-21,60,35.3,0.159133,93.38,1881.40625,0.625,32.79
-12,-20,59,38.66,0.159133,92.92,1882.046875,0.640625,32.79
-8,-18,61,41.13,0.155289,92.43,1882.671875,0.625,32.79
-5,-17,64,44.09,0.155289,91.97,1883.3125,0.640625,32.77
1,-14,69,47.03,0.15657,91.48,1883.921875,0.609375,32.77
-2,-7,68,47.32,0.15657,91.03,1884.53125,0.609375,32.77
-4,11,69,41.7,0.151446,90.6,1885.09375,0.5625,32.77
-7,-51,43,28.33,0.152727,89.9,1890.953125,0.609375,32.79
-12,-22,41,8.35,0.151446,89.28,1891.515625,0.5625,32.79
-28,-29,36,-14.12,0.151446,88.73,1892.125,0.609375,32.79
-37,-25,23,-33.71,0.148883,88.17,1892.703125,0.578125,32.79
-60,-21,-3,-46.26,0.151446,87.67,1893.28125,0.578125,32.81
-77,-17,-28,-50.43,0.152727,87.07,1893.84375,0.5625,32.81
-76,-14,-28,-47.99,0.154008,86.42,1894.453125,0.609375,32.81
-49,-9,-22,-42.62,0.155289,85.75,1895.03125,0.578125,32.81
-50,-7,-33,-38.11,0.155289,84.97,1895.640625,0.609375,32.83
-60,-12,-43,-36.81,0.155289,84.2,1896.21875,0.578125,32.83
-53,-9,-50,-39.42,0.154008,83.38,1896.84375,0.625,32.83
-53,-11,-51,-45.37,0.152727,82.82,1897.4375,0.59375,32.83
